brand,id,name,url,address
Tinex,511,КАРПОШ-3,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=511,
Tinex,512,АЕРОДРОМ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=512,
Tinex,513,КАРПОШ-4,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=513,
Tinex,517,ШИПАД,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=517,
Tinex,521,КИСЕЛА ВОДА - 1,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=521,
Tinex,522,Космо Дајмонд,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=522,
Tinex,523,Спот 1 Водњанска,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=523,
Tinex,524,КИСЕЛА ВОДА - 2,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=524,
Tinex,525,ВОДНО ДЕЛИКАТЕСЕН,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=525,
Tinex,526,ДРЖАВНА,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=526,
Tinex,527,ЦЕНТАР - 2,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=527,
Tinex,528,Спот 2 Даме  Груев,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=528,
Tinex,529,Илинден,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=529,
Tinex,533,ОХРИД 1,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=533,
Tinex,536,ЃОРЧЕ ПЕТРОВ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=536,
Tinex,540,Маркет Порта Аеродром,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=540,
Tinex,542,КАВАДАРЦИ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=542,
Tinex,546,ОХРИД 2 ДИСКОНТ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=546,
Tinex,547,ТЕТОВО 1,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=547,
Tinex,548,СУПЕР 14 СТРУМИЦА,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=548,
Tinex,549,СУПЕР 15 МАЈЧИН ДОМ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=549,
Tinex,550,КОСМО 15 ТЕТОВО,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=550,
Tinex,552,БИТОЛА 1,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=552,
Tinex,553,БУЊАКОВЕЦ ДЕЛИКАТЕСЕН,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=553,
Tinex,554,ХРОМ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=554,
Tinex,555,СУПЕР 4 РАДЕ КОНЧАР,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=555,
Tinex,556,БИТОЛА 2,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=556,
Tinex,558,ПИОМ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=558,
Tinex,560,СУПЕР 16 ИСТ ГЕЈТ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=560,
Tinex,561,СУПЕР 1 ГОДЕЛ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=561,
Tinex,563,СТАРА ТЕЛЕВИЗИЈА-ДИСКОНТ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=563,
Tinex,564,ПРИЛЕП,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=564,
Tinex,565,СУПЕР 2 КАТНА,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=565,
Tinex,566,КОСМО 1 ЗЕБРА,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=566,
Tinex,567,КОСМО 2 ГРАДСКИ ЅИД,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=567,
Tinex,569,КОСМО 16 ИСТ ГЕЈТ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=569,
Tinex,571,СУПЕР 3 ПРВОМАЈСКА,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=571,
Tinex,572,СУПЕР 5 КУМАНОВО,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=572,
Tinex,573,КОСМО 3 КУМАНОВО,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=573,
Tinex,574,СУПЕР 6 ДРАМСКИ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=574,
Tinex,585,СУПЕР 7 ОХРИД 3,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=585,
Tinex,586,КОСМО 13 СИТИ МОЛ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=586,
Tinex,587,СТРУГА 3,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=587,
Tinex,588,ДРАЧЕВО,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=588,
Tinex,589,СУПЕР 8 МЛЕЧЕН КАПИШТЕЦ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=589,
Tinex,590,СУПЕР 9 ЗЛОКУЌАНИ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=590,
Tinex,592,СУПЕР 10 ЦВЕТЕН ПАЗАР,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=592,
Tinex,593,КОЧАНИ,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=593,
Tinex,594,ДЕЛИКАТЕСЕН ТИНЕКС,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=594,
Tinex,596,СУПЕР 11 ТЦ ЛИСА,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=596,
Tinex,597,КОСМО 14 ТЦ ЛИСА,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=597,
Tinex,598,СУПЕР 12 ПРИЛЕП,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=598,
Tinex,599,СУПЕР 13 ПРАШКА,http://ceni.tinex.mk/?page=1&perPage=100&search=&org=599,
KAM,madzari,Маџари,https://kam.com.mk/price_markets/madzari/,ул.Благоја Стефковски бр.12
KAM,novo-lisiche-1,Ново Лисиче-1,https://kam.com.mk/price_markets/novo-lisiche-1/,бул. Видое Смилевски Бато бр.13
KAM,drachevo,Драчево,https://kam.com.mk/price_markets/drachevo/,ул.Иван Хаџиниколов бр. 6 Б Драчево
KAM,valandovo,Валандово,https://kam.com.mk/price_markets/valandovo/,ул.Првомајска бр.14/А
KAM,kozle-1,Козле-1,https://kam.com.mk/price_markets/kozle-1/,ул. Козле бр.53
KAM,gtts,ГТЦ,https://kam.com.mk/price_markets/gtts/,Кеј 13-ти Ноември бб ГТЦ-Сутерен
KAM,kapishtets-nov,Капиштец НОВ,https://kam.com.mk/price_markets/kapishtets-nov/,Народен Фронт бр.23
KAM,chento,Ченто,https://kam.com.mk/price_markets/chento/,ул. Маџари бб
KAM,sever,Север,https://kam.com.mk/price_markets/sever/,ул. Тале Христов бр.2
KAM,avtokomanda,Автокоманда,https://kam.com.mk/price_markets/avtokomanda/,ул. Јани Лукровски бр.3
KAM,taftalidhe,Тафталиџе,https://kam.com.mk/price_markets/taftalidhe/,ул. Лондонска бб
KAM,kumanovo-2,Куманово-2,https://kam.com.mk/price_markets/kumanovo-2/,ул. Октомвриска Револуција бр.КП 13652
KAM,kisela-voda,Кисела Вода,https://kam.com.mk/price_markets/kisela-voda/,ул. Сава Ковачевиќ бр.69
KAM,kichevo,Кичево,https://kam.com.mk/price_markets/kichevo/,ул. Маршал Тито бб/КП2175
KAM,skopjanka,Скопјанка,https://kam.com.mk/price_markets/skopjanka/,бул.Кузман Јосифовски Питу Бр19/Скопјанка
KAM,bitola-1,Битола-1,https://kam.com.mk/price_markets/bitola-1/,ул. Генерал Васко Каранѓелески бр.ББ сутерен
KAM,shtip-1,Штип-1,https://kam.com.mk/price_markets/shtip-1/,ул. Сремски Фронт бр 7
KAM,gostivar-2,Гостивар-2,https://kam.com.mk/price_markets/gostivar-2/,ул. Беличица бр.бб/КП7717
KAM,michurin,Мичурин,https://kam.com.mk/price_markets/michurin/,Ул. ВЕНИЈАМИН МАЧУКОВСКИ Бр.6 СКОПЈЕ
KAM,ohrid-1,Охрид-1,https://kam.com.mk/price_markets/ohrid-1/,Бул.Туристичка бр.6
KAM,novo-lisiche-2,Ново Лисиче-2,https://kam.com.mk/price_markets/novo-lisiche-2/,бул. Видое Смилевски Бато бб
KAM,tetovo-5,Тетово-5,https://kam.com.mk/price_markets/tetovo-5/,ул. Страшо Пинџур бр.КП1744/1/зав.вопл-бр.1992
KAM,aerodrom-3,Аеродром-3,https://kam.com.mk/price_markets/aerodrom-3/,бул. Јане Сандански бр.79А
KAM,kriva-palanka,Крива Паланка,https://kam.com.mk/price_markets/kriva-palanka/,ул.Св.Јоаким Осоговски бр.1Г
KAM,shtip-2,Штип-2,https://kam.com.mk/price_markets/shtip-2/,ул.Кеј Маршал Тито бр.19
KAM,butel,Бутел,https://kam.com.mk/price_markets/butel/,ул.Петар Манџуков бр.16
KAM,kisela-voda-2,Кисела Вода 2,https://kam.com.mk/price_markets/kisela-voda-2/,Ул. МИХАИЛ ЧАКОВ Бр.5 СКОПЈЕ - КИСЕЛА ВОДА
KAM,veles,Велес,https://kam.com.mk/price_markets/veles/,ул. Маршал Тито бр.бб КП 4501/згр.2вл.1-сутерен
KAM,mvr,МВР,https://kam.com.mk/price_markets/mvr/,ул. 50-та Дивизија бб
KAM,karposh-4,Карпош-4,https://kam.com.mk/price_markets/karposh-4/,бул. Партизански Oдреди бр.80А/КП29754-сутерен
KAM,bunakovets,Буњаковец,https://kam.com.mk/price_markets/bunakovets/,бул. Партизански Одреди бр.КП 10184/дел.5згр.1 подрум
KAM,bitola-2,Битола-2,https://kam.com.mk/price_markets/bitola-2/,ул. Коле Неделковски бр.ББ М.В.И.Д Жокановски КП 3524
KAM,gostivar-1,Гостивар-1,https://kam.com.mk/price_markets/gostivar-1/,бул. Браќа Гиноски бр.бб/Кп3510
KAM,shtip-3,Штип-3,https://kam.com.mk/price_markets/shtip-3/,ул. Сутјеска бб
KAM,kumanovo-1,Куманово-1,https://kam.com.mk/price_markets/kumanovo-1/,ул. Моша Пијаде бб
KAM,kochani,Кочани,https://kam.com.mk/price_markets/kochani/,Ул.29-ти Ноември бр.бб
KAM,kavadartsi,Кавадарци,https://kam.com.mk/price_markets/kavadartsi/,ул.Охридска бр.1ББ
KAM,strumitsa,Струмица,https://kam.com.mk/price_markets/strumitsa/,ул.Гоце Делчев бр.ББ/КП 2134/5
KAM,porta-nov,Порта-нов,https://kam.com.mk/price_markets/porta-nov/,Ангел Динев Бр.3А-1А/кат.приз./КП 7047/2
KAM,tsrniche,Црниче,https://kam.com.mk/price_markets/tsrniche/,Востаничка бр.59 за КО/Кисела Вода
KAM,ohrid-2,Охрид-2,https://kam.com.mk/price_markets/ohrid-2/,7-Ми Ноември Бр.згр1 вл/1 и 2 кат/приземје
KAM,prilep-3,Прилеп-3,https://kam.com.mk/price_markets/prilep-3/,11-Ти Октомври Бр 2-А/15/КП 15628
KAM,debar,Дебар,https://kam.com.mk/price_markets/debar/,У л. 101 Бр.3/1 ДЕБАР
KAM,debarmaalo,Дебармаало,https://kam.com.mk/price_markets/debarmaalo/,Благој Давков бр.2
KAM,radishani,Радишани,https://kam.com.mk/price_markets/radishani/,Радишанска бр.4В
KAM,drachevo-2,Драчево-2,https://kam.com.mk/price_markets/drachevo-2/,Јустинијан Први 2 Бр1А
KAM,veles-2,Велес-2,https://kam.com.mk/price_markets/veles-2/,11-Октомври Бр 17
KAM,ohrid-4,Охрид-4,https://kam.com.mk/price_markets/ohrid-4/,ул.Градско Пазариште бр 20
KAM,strumitsa-2,Струмица 2,https://kam.com.mk/price_markets/strumitsa-2/,ул.Маршал Тито бр.142
KAM,struga-3,Струга-3,https://kam.com.mk/price_markets/struga-3/,ул.ЈНА бр.1 згр.1/1-1 пр.
KAM,tetovo-4,Тетово-4,https://kam.com.mk/price_markets/tetovo-4/,ул.Љупче Момировски бр.14
